date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-27,8.96,9.01,8.83,8.81,301956.97,-0.15,-1.67,9.048,9.009,8.857,545161.07,521255.42,390402.33,1.43
2017-10-26,8.99,9.08,8.98,8.95,343288.53,-0.04,-0.44,9.152,9.026,8.852,685102.69,514351.97,386278.83,1.62
2017-10-25,9.0,9.09,9.02,8.88,385561.59,-0.01,-0.11,9.15,9.022,8.845,725018.82,510750.37,385971.29,1.82
2017-10-24,9.2,9.27,9.03,8.95,678535.94,-0.35,-3.73,9.102,9.03,8.832,695341.18,529179.59,380547.34,3.21
2017-10-23,9.7,9.7,9.38,9.35,1016462.31,0.03,0.32,9.09,9.016,8.821,629416.02,489510.79,363074.84,4.8
2017-10-20,9.2,9.62,9.35,9.2,1001665.06,0.38,4.24,8.97,8.962,8.791,497349.78,422628.22,323213.14,4.73
2017-10-19,8.82,9.1,8.97,8.81,542869.19,0.19,2.16,8.9,8.868,8.754,343601.25,336432.81,285682.61,2.56
2017-10-18,8.93,9.0,8.78,8.78,237173.41,-0.19,-2.12,8.894,8.81,8.748,296481.93,299167.48,270502.5,1.12
2017-10-17,8.7,9.16,8.97,8.66,348910.12,0.19,2.16,8.958,8.782,8.75,363018.0,292296.47,272457.44,1.65
2017-10-16,9.2,9.25,8.78,8.72,356131.12,-0.22,-2.44,8.942,8.735,8.748,349605.56,271191.15,280192.74,1.68
2017-10-13,8.94,9.08,9.0,8.9,232922.41,0.06,0.67,8.954,8.705,8.757,347906.66,259549.24,277543.35,1.1
2017-10-12,9.09,9.15,8.94,8.86,307272.59,-0.16,-1.76,8.836,8.677,8.755,329264.36,258205.69,285818.08,1.45
2017-10-11,8.94,9.19,9.1,8.81,569853.75,0.21,2.36,8.726,8.667,8.761,301853.04,261192.2,307593.21,2.69
2017-10-10,8.8,8.98,8.89,8.76,281847.91,0.05,0.57,8.606,8.634,8.77,221574.93,231915.09,354356.98,1.33
2017-10-09,8.53,8.87,8.84,8.5,347636.62,0.43,5.11,8.528,8.626,8.769,192776.74,236638.9,382715.27,1.64
2017-09-29,8.41,8.48,8.41,8.39,139710.95,0.02,0.24,8.456,8.619,8.73,171191.82,223798.06,372594.03,0.66
